;TFLAG:0～TFLAG:29とTFLAG:100は、指令ごとに０に直される（EVENTCOM.ERBに記述）。
;調教終了時に@EVENT_AFTER_TRAINでTFLAG:0～TFLAG:100は０に直される。
;TFLAG:101～TFLAG:199は、次に誰かを調教するまで値が保存される(EVETRAIN.ERBに記述)…が、一時的なフラグとして使われるので、当てにはならない。
;TFLAG:200～は、基本的には値が保存され続ける。はず。
;原則として番号直打ちでは増減や参照しないので、29以下かどうか以外では番号は自由に変更してよい

;29以下は@SIMULATE_TRAIN中に初期化されるので注意する事
18,好感度BOUNS
19,基礎補正
20,助手行動済
21,余裕
22,清洁口交
23,指令中止
24,地の文分岐

26,システム文スキップ,		;主に@SOURCE_CHECK_SIMPLEで何も表示しないために使う
27,EJECT,			;ONだと中出し後に100％ペニスを抜く

;以下はターンを跨いでも初期化されない
30,LINECOUNT_地の文
31,LINECOUNT記録,		;調教画面の表示を整えるのに用いる

33,ターン開始時の情緒
34,もがき数
35,口上分岐,			;お掃除フェラで使用
36,前Ｔ対象
37,前Ｔ調教者
38,恍惚確率
39,恍惚確率の弱点補正
40,推倒確率
41,恍惚回合数
42,繰り越しキャラ数
43,選択番号
44,実行値BOUNS
45,床イン,			;[999]選択後にやっぱエッチする事にした場合
46,指导者同行,		;場所移動でアドバイザーも一緒に行くならON
47,LINECOUNT_PROFILE
48,取引承諾
49,取引価格,			;取引で渡すお金
50,値切った,			;取引で値切るとON
51,値上げ交渉,			;ONだと値上げで交渉が出来る。この値が上乗せ額
52,取引拒否,			;取引を受け付けない時に、口上側でONにする
53,胖次交易
54,内衣姿になって欲しい
55,裸体希望
56,ながら性処理
57,撮影おしまい
58,地の文スキップ
59,台詞スキップ
60,退出する
61,颜绘表示中,		;表示されたかどうかを確認するために使う
62,颜绘スキップ
63,交流中,			;CFLAGの方と異なり、全体を一気に交流中にさせたい場合に使う
64,颜绘アニメ中,		;瞬きなどをさせている際にONになる
65,颜绘表示する,		;颜绘を表示させたい場合にONにする

69,PLAY回数
;70～89 デートでのフラグ
70,手繋ぎ
71,接吻
72,手淫
73,口交
74,摸屁股
75,性交

80,约会衣装に着替えた
81,约会手つなぎ可能
82,约会エロ可能
83,衣装解説済み
84,内衣チラ見え可能
85,泳装约会


;90～99 写真撮影でのフラグ
90,NEXTPHOTO
