0,Ｖ経験
1,Ａ経験
2,絶頂経験
3,射精経験
4,助手経験
5,経験値
6,强制绝顶回数
7,Ｈ回数
8,子宮口経験
9,约会経験
10,自慰経験
11,処女簒奪経験
12,Ｖ性交経験
13,Ａ性交経験
14,童貞狩猎経験
15,Ｖ挿入経験
16,Ａ挿入経験
17,膣内精液経験
18,肛内精液経験
19,精飲経験
20,精液経験
21,奉仕快楽経験
22,口交経験
23,手淫経験
24,足交経験
25,腰靈活経験
26,乳交経験
27,玩弄Ａ経験
28,舐陰経験
29,尿道責め経験
30,被虐快楽経験
31,放尿経験
32,嗜虐快楽経験
33,漏尿経験
34,露出経験
35,浣腸経験
36,羞恥快楽経験
37,剃毛経験
38,尿道経験
39,足舐め経験
40,百合経験
41,ＢＬ経験
42,ＳＭ経験
43,聖水経験
44,飲尿経験
45,Ｂ性交経験
46,Ｂ挿入経験
47,乳内精液経験
48,膣内浴尿経験
49,温泉浣腸経験
50,特別経験
51,拘束経験
52,Ａ舐め経験
53,Ｖ拡張経験
54,噴乳経験
55,触手経験
56,穿環経験
57,Ａ拡張経験
58,媚薬経験
59,撮影経験
60,Ｖ損傷経験
61,Ａ損傷経験
62,奉承経験
63,避孕套性交経験
64,避孕套挿入経験
65,結腸経験
66,Ｖ拳交経験
67,Ａ拳交経験
68,子宮姦経験
69,子宮浴尿経験
70,接吻経験
71,舔指経験
72,吸精経験
73,授乳経験
74,飲乳経験
75,乳内浴尿経験
76,喉性交経験
77,尿道拡張経験
78,尿道性交経験
79,尿道挿入経験
80,膀胱精液経験
81,輸尿経験
82,清洁口交経験
83,清洁舔阴経験
84,清洁舔A経験
85,性処理経験
86,睡眠姦経験,		;睡眠時に挿入行為をされると+1
87,睡眠悪戯経験,	;睡眠時に挿入行為でない性的悪戯をされると+1
88,孕ませ経験,
89,ＡＶ出演経験,

90,勇者消灭经验
91,正常战斗经验
92,性战斗经验
93,战斗高潮经验
